;L_ABSATZ3;L_ABSATZ2;WERKS;MATNR
0;2.1900000000000004;2.1900000000000004;0;30
1;2.1900000000000004;2.1900000000000004;0;31
2;2.1900000000000004;2.1900000000000004;0;32
3;2.1900000000000004;2.1900000000000004;0;33
4;2.1900000000000004;2.1900000000000004;0;48
5;2.1900000000000004;2.1900000000000004;0;48
6;2.1900000000000004;2.1900000000000004;0;48
7;2.1900000000000004;2.1900000000000004;0;48
8;2.1900000000000004;2.1900000000000004;0;48
9;2.1900000000000004;2.1900000000000004;0;48
10;2.1900000000000004;2.1900000000000004;0;48
11;2.1900000000000004;2.1900000000000004;0;48
12;3.0100000000000002;3.0100000000000002;1;30
13;3.0100000000000002;3.0100000000000002;1;31
14;3.0100000000000002;3.0100000000000002;1;32
15;3.0100000000000002;3.0100000000000002;1;33
16;3.0100000000000002;3.0100000000000002;1;48
17;3.0100000000000002;3.0100000000000002;1;48
18;3.0100000000000002;3.0100000000000002;1;48
19;3.0100000000000002;3.0100000000000002;1;48
20;3.0100000000000002;3.0100000000000002;1;48
21;3.0100000000000002;3.0100000000000002;1;48
22;3.0100000000000002;3.0100000000000002;1;48
23;3.0100000000000002;3.0100000000000002;1;48
24;2.91;2.91;2;30
25;2.91;2.91;2;31
26;2.91;2.91;2;32
27;2.91;2.91;2;33
28;2.91;2.91;2;48
29;2.91;2.91;2;48
30;2.91;2.91;2;48
31;2.91;2.91;2;48
32;2.91;2.91;2;48
33;2.91;2.91;2;48
34;2.91;2.91;2;48
35;2.91;2.91;2;48
36;3.12;3.12;3;30
37;3.12;3.12;3;31
38;3.12;3.12;3;32
39;3.12;3.12;3;33
40;3.12;3.12;3;48
41;3.12;3.12;3;48
42;3.12;3.12;3;48
43;3.12;3.12;3;48
44;3.12;3.12;3;48
45;3.12;3.12;3;48
46;3.12;3.12;3;48
47;3.12;3.12;3;48
48;2.75;2.75;4;30
49;2.75;2.75;4;31
50;2.75;2.75;4;32
51;2.75;2.75;4;33
52;2.75;2.75;4;48
53;2.75;2.75;4;48
54;2.75;2.75;4;48
55;2.75;2.75;4;48
56;2.75;2.75;4;48
57;2.75;2.75;4;48
58;2.75;2.75;4;48
59;2.75;2.75;4;48
60;3.31;3.31;5;30
61;3.31;3.31;5;31
62;3.31;3.31;5;32
63;3.31;3.31;5;33
64;3.31;3.31;5;48
65;3.31;3.31;5;48
66;3.31;3.31;5;48
67;3.31;3.31;5;48
68;3.31;3.31;5;48
69;3.31;3.31;5;48
70;3.31;3.31;5;48
71;3.31;3.31;5;48
72;2.91;2.91;6;30
73;2.91;2.91;6;31
74;2.91;2.91;6;32
75;2.91;2.91;6;33
76;2.91;2.91;6;48
77;2.91;2.91;6;48
78;2.91;2.91;6;48
79;2.91;2.91;6;48
80;2.91;2.91;6;48
81;2.91;2.91;6;48
82;2.91;2.91;6;48
83;2.91;2.91;6;48
84;2.99;2.99;7;30
85;2.99;2.99;7;31
86;2.99;2.99;7;32
87;2.99;2.99;7;33
88;2.99;2.99;7;48
89;2.99;2.99;7;48
90;2.99;2.99;7;48
91;2.99;2.99;7;48
92;2.99;2.99;7;48
93;2.99;2.99;7;48
94;2.99;2.99;7;48
95;2.99;2.99;7;48
96;2.9000000000000004;2.9000000000000004;8;30
97;2.9000000000000004;2.9000000000000004;8;31
98;2.9000000000000004;2.9000000000000004;8;32
99;2.9000000000000004;2.9000000000000004;8;33
100;2.9000000000000004;2.9000000000000004;8;48
101;2.9000000000000004;2.9000000000000004;8;48
102;2.9000000000000004;2.9000000000000004;8;48
103;2.9000000000000004;2.9000000000000004;8;48
104;2.9000000000000004;2.9000000000000004;8;48
105;2.9000000000000004;2.9000000000000004;8;48
106;2.9000000000000004;2.9000000000000004;8;48
107;2.9000000000000004;2.9000000000000004;8;48
108;2.8400000000000003;2.8400000000000003;9;30
109;2.8400000000000003;2.8400000000000003;9;31
110;2.8400000000000003;2.8400000000000003;9;32
111;2.8400000000000003;2.8400000000000003;9;33
112;2.8400000000000003;2.8400000000000003;9;48
113;2.8400000000000003;2.8400000000000003;9;48
114;2.8400000000000003;2.8400000000000003;9;48
115;2.8400000000000003;2.8400000000000003;9;48
116;2.8400000000000003;2.8400000000000003;9;48
117;2.8400000000000003;2.8400000000000003;9;48
118;2.8400000000000003;2.8400000000000003;9;48
119;2.8400000000000003;2.8400000000000003;9;48
120;3.12;3.12;10;30
121;3.12;3.12;10;31
122;3.12;3.12;10;32
123;3.12;3.12;10;33
124;3.12;3.12;10;48
125;3.12;3.12;10;48
126;3.12;3.12;10;48
127;3.12;3.12;10;48
128;3.12;3.12;10;48
129;3.12;3.12;10;48
130;3.12;3.12;10;48
131;3.12;3.12;10;48
132;2.97;2.97;11;30
133;2.97;2.97;11;31
134;2.97;2.97;11;32
135;2.97;2.97;11;33
136;2.97;2.97;11;48
137;2.97;2.97;11;48
138;2.97;2.97;11;48
139;2.97;2.97;11;48
140;2.97;2.97;11;48
141;2.97;2.97;11;48
142;2.97;2.97;11;48
